,Range (s),Total (ms),Loading (ms),Rendering (ms),Painting (ms),System (ms),Idle (ms)
Base,7.45,7448,108,1486,10,1909,3864
,7.34,7339,112,1486,11,1909,3864
,7.01,7012,100,1360,11,1492,4048
,6.96,6964,98,1328,10,1461,4065
,7.02,7024,96,1375,11,1513,4029
,7.05,7047,107,1372,9,1505,4054
,7.07,7067,86,1393,11,1436,4141
,7.05,7055,84,1395,11,1441,4124
,7.07,7071,93,1405,11,1392,4169
,7.01,7008,93,1364,12,1804,3698
Nest 1,6.82,6822,93,1143,11,1498,4077
,6.78,6776,86,1087,12,1433,4157
,6.77,6767,93,1095,11,1409,4158
,6.85,6851,95,1104,11,1570,4072
,6.84,6836,92,1083,9,1514,4137
,6.75,6748,93,1100,10,1419,4126
,6.93,6935,90,1067,11,1592,4175
,6.88,6878,91,1084,10,1523,4170
,6.76,6757,91,1097,10,1448,4110
,6.77,6771,96,1111,11,1475,4079
Nest 2,6.82,6824,94,1125,9,1518,4077
,6.8,6802,95,1114,10,1438,4145
,6.79,6792,92,1116,9,1492,4083
,6.82,6819,94,1117,10,1522,4075
,6.79,6789,92,1104,9,1454,4130
,6.77,6775,95,1108,10,1426,4135
,6.85,6849,95,1123,11,1842,3739
,6.81,6805,92,1122,11,1463,4117
,6.75,6747,101,1098,11,1408,4128
,6.86,6858,95,1091,9,1533,4129
Nest 3,6.8,6803,106,1148,10,1519,4021
,6.96,6965,99,1153,9,1640,4063
,6.93,6929,101,1149,9,1652,4017
,6.99,6993,102,1128,9,2069,3623
,6.82,6819,99,1136,11,1579,3993
,6.81,6812,99,1130,9,1490,4084
,6.88,6883,99,1115,12,1569,4087
,6.89,6890,107,1151,13,1533,4085
,6.9,6900,102,1126,10,1586,4076
,6.88,6877,103,1150,10,1606,4008
Nest 4,6.85,6850,100,1146,10,1528,4066
,6.89,6886,111,1127,10,1596,4040
,6.88,6875,105,1104,9,1657,4000
,6.79,6792,107,1122,10,1619,3933
,6.83,6833,102,1108,11,1584,4028
,6.77,6768,100,1109,11,1605,3942
,6.88,6880,102,1134,10,1579,4055
,6.77,6769,103,1117,10,1549,3990
,6.86,6860,101,1109,10,1945,3656
,6.79,6787,103,1132,11,1508,4032
Nest 5,6.95,6950,104,1136,10,1695,4004
,6.9,6896,108,1122,10,1618,4038
,6.87,6869,107,1118,9,2013,3558
,6.78,6783,105,1131,11,1578,3959
,6.93,6928,100,1132,9,1663,4024
,6.93,6929,104,1126,11,1700,3987
,6.91,6905,104,1198,12,2038,3487
,6.9,6904,105,1140,12,1629,4018
,6.91,6908,103,1119,10,1648,4028
,6.79,6793,107,1132,10,1552,3992
Nest 8,6.79,6792,107,1122,10,1619,3933
,6.82,6821,95,1123,12,1557,4033
,6.89,6887,104,1135,10,1587,4051
,6.88,6883,104,1121,12,1675,3970
,6.85,6848,94,1126,13,1582,4033
,6.88,6876,101,1116,11,1602,4046
,6.83,6827,100,1138,10,1577,4002
,6.9,6901,105,1135,10,1928,3654
,6.91,6911,109,1161,11,1607,4022
,6.88,6881,104,1144,9,1629,3994
Nest 24,11.16,11158,684,4473,8,1005,4988
,11.27,11268,546,4659,7,1102,4952
,11.04,11042,645,4455,9,954,4978
,11.49,11492,724,4930,9,847,4982
,10.68,10676,511,4344,9,857,4955
,11.3,11301,566,4726,9,1047,4954
,11.1,11101,662,4531,9,923,4976
,11.53,11530,739,4959,9,849,4974
,11.08,11083,511,4546,8,1066,4953
,10.84,10842,535,4554,8,792,4951
